job_title,clean_job_title
Lecturer for Private Law,"['lecturer', 'private', 'law']"
Lecturer for International Law,"['lecturer', 'international', 'law']"
Lecturer for Business Law,"['lecturer', 'business', 'law']"
Lecturer for Judiciary Institutions,"['lecturer', 'judiciary', 'institution']"
Lecturer for Public Law,"['lecturer', 'public', 'law']"
Lecturer for Civil Law,"['lecturer', 'civil', 'law']"
Software developer,"['software', 'developer']"
Website Moderator,"['website', 'moderator']"
Chief Accountant,"['chief', 'accountant']"
Computer graphic designer,"['computer', 'graphic', 'designer']"
Internet Access and Training Program Spitak Site Trainer,"['internet', 'access', 'train', 'program', 'spitak', 'site', 'trainer']"
Engineer,['engineer']
Administrative & Program Volunteers,"['administrative', 'program', 'volunteer']"
Chief Accountant,"['chief', 'accountant']"
Receptionist/ Secretary,"['receptionist', 'secretary']"
Administrative Assistant,"['administrative', 'assistant']"
Java Programmer - Chief Programmer,"['java', 'programmer', 'chief', 'programmer']"
Logistics and Warehouse Coordinator,"['logistics', 'warehouse', 'coordinator']"
Municipal Services Engineer,"['municipal', 'service', 'engineer']"
Health Manager,"['health', 'manager']"
Accountant,['accountant']
Secretary/Administrative Assistant,"['secretary', 'administrative', 'assistant']"
Suitably qualified professional firms or groups of individual,"['suitably', 'qualify', 'professional', 'firm', 'group', 'individual']"
HVAC Specialist,"['hvac', 'specialist']"
Advertising Department Manager,"['advertising', 'department', 'manager']"
Chief Accountant,"['chief', 'accountant']"
Manager,['manager']
PC Operator,"['pc', 'operator']"
Chief Cook,"['chief', 'cook']"
Translator/ Interpreter,"['translator', 'interpreter']"
Marketing Training Program and Internship Opportunity,"['market', 'train', 'program', 'internship', 'opportunity']"
Translator,['translator']
Procurement Officer,"['procurement', 'officer']"
Web Programmer & Designer,"['web', 'programmer', 'designer']"
Translator-Interpreter,"['translator', 'interpreter']"
Administrator-Coordinator,"['administrator', 'coordinator']"
IATP Program Associate,"['iatp', 'program', 'associate']"
Executive Secretary,"['executive', 'secretary']"
Logistics Executive,"['logistics', 'executive']"
Executive Director,"['executive', 'director']"
Chief Accountant,"['chief', 'accountant']"
Health Coordinator,"['health', 'coordinator']"
Global Fund ATM Implementation Unit Officer,"['global', 'fund', 'atm', 'implementation', 'unit', 'officer']"
Driver/Office Assistant,"['driver', 'office', 'assistant']"
Scene-writer,"['scene', 'writer']"
"Trainers in ""Exchange trading - analysis, prognoss and decision","['trainer', 'exchange', 'trading', 'analysis', 'prognoss', 'decision']"
Marketing Specialist,"['marketing', 'specialist']"
Marketing Research Assistant Intern,"['marketing', 'research', 'assistant', 'intern']"
Program Manager,"['program', 'manager']"
"Trainers in ""Exchange trading - analysis, prognoss and decision","['trainer', 'exchange', 'trading', 'analysis', 'prognoss', 'decision']"
System administrator,"['system', 'administrator']"
Customer Support Representative,"['customer', 'support', 'representative']"
News Content Manager,"['news', 'content', 'manager']"
Trade Show Coordinator,"['trade', 'show', 'coordinator']"
System Administrator,"['system', 'administrator']"
Finance Assistant,"['finance', 'assistant']"
IATP Gyumri Trainer,"['iatp', 'gyumri', 'trainer']"
Intern-Administrative Assistant,"['intern', 'administrative', 'assistant']"
IT Capacity Building Assistant,"['capacity', 'building', 'assistant']"
Data Processor (2 positions),"['data', 'processor', 'position']"
JSP/Java Developer for Lycos Mail,"['jsp', 'java', 'developer', 'lycos', 'mail']"
Java/C++ Developer for Lycos Mail,"['java', 'c', 'developer', 'lycos', 'mail']"
Intern,['intern']
Project Coordinator for the Project Gender and Politics,"['project', 'coordinator', 'project', 'gender', 'politics']"
Java/C++ Developer for Lycos Communities,"['java', 'c', 'developer', 'lycos', 'community']"
JSP/Java Developer for Lycos Chat,"['jsp', 'java', 'developer', 'lycos', 'chat']"
Agriculturist,['agriculturist']
Veterinarian,['veterinarian']
Business Analyst,"['business', 'analyst']"
Software Developer,"['software', 'developer']"
Free Training Courses,"['free', 'training', 'course']"
Software Engineer,"['software', 'engineer']"
Chief Accountant,"['chief', 'accountant']"
Secretary Referent,"['secretary', 'referent']"
Moderator of Electronic Bulletin and Web site,"['moderator', 'electronic', 'bulletin', 'web', 'site']"
English Language Teacher,"['english', 'language', 'teacher']"
English Language Tutors,"['english', 'language', 'tutor']"
Receptionist/ Admin Assistant,"['receptionist', 'admin', 'assistant']"
Marketing Manager,"['marketing', 'manager']"
